Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
656,Li5.4La3Nb1.8Y0.2O12,6.74E-05,,230.0,237144.0,10.1021/jp304737x
657,Li5.5La3Nb1.75Y0.25O12,9.18E-05,,230.0,237145.0,10.1021/jp304737x
658,Li6.5La3Nb1.25Y0.75O12,3.43E-04,,230.0,237146.0,10.1021/jp304737x
659,Li6Ba0.5Sr0.5La2Ta2O12,7.10E-06,0.45,230.0,237199.0,10.1021/am4060194
660,Li6SrLa2Ta2O12,5.40E-06,0.45,230.0,237200.0,10.1021/am4060194
661,Li6BaLa2Ta2O12,1.50E-05,0.47,230.0,237201.0,10.1021/am4060194
662,Li6CaLa2Ta2O12,2.20E-06,0.47,230.0,237202.0,10.1016/j.ssi.2008.10.022; 10.1021/am4060194
663,Li6BaLa2Ta2O12,4.00E-05,0.4,230.0,,
664,Li6SrLa2Ta2O12,7.00E-06,0.5,230.0,,
665,Li6SrLa2Ta2O12,7.00E-06,0.5,230.0,237200.0,
666,Li6BaLa2Ta2O12,4.00E-05,0.4,230.0,237201.0,
667,Li5.74La3Zr1.5Ta0.5O12,9.03E-04,0.435,230.0,239663.0,10.1002/aenm.201570062
668,La3Li5.08Ta1.51Zr0.39O12,1.03E-04,0.536,230.0,239664.0,10.1002/aenm.201570062
669,Li51.2Al1.6La24Zr16O96,2.54E-04,0.36,230.0,241475.0,10.1038/srep18053
670,Li49.6Al1.6La24Zr14.4Ta1.6O96,6.14E-04,0.29,230.0,241476.0,10.1038/srep18053
671,Li6.5La3Hf1.5Ta0.5O12,4.00E-04,0.4,230.0,258921.0,10.2109/jcersj2.16273
672,Li6.5La3Sn1.5Ta0.5O12,1.90E-04,0.45,230.0,258922.0,10.2109/jcersj2.16273
673,Li5La3Ta2O12,1.59E-05,,230.0,259164.0,10.1021/acs.inorgchem.7b00816
674,Li5.3La3Ta1.85Sm0.15O12,7.11E-06,,230.0,259165.0,10.1021/acs.inorgchem.7b00816
675,Li5.5La3Ta1.75Sm0.25O12,5.17E-06,,230.0,259166.0,10.1021/acs.inorgchem.7b00816
676,Li5.70La3Ta1.65Sm0.35O12,2.15E-05,,230.0,259167.0,10.1021/acs.inorgchem.7b00816
677,Li5.90La3Ta1.55Sm0.45O12,1.18E-05,,230.0,259168.0,
678,Li6.10La3Ta1.45Sm0.55O12,1.40E-05,,230.0,259169.0,
679,Li7La3Zr2O12,5.69E-04,0.36,230.0,422259.0,10.1016/j.ssi.2010.12.010
680,Li5La3Nb2O12,4.99E-06,,230.0,,
681,Li5La3Nb1.95Y0.05O12,1.32E-05,,230.0,,10.1016/j.jpowsour.2011.05.031
682,Li5La3Nb1.9Y0.1O12,1.43E-05,,230.0,,
683,Li5La3Nb1.85Y0.15O12,5.85E-06,,230.0,,10.1016/j.jpowsour.2011.05.031
684,Li5La3Nb1.8Y0.2O12,9.05E-06,,230.0,,10.1016/j.jpowsour.2011.05.031
685,Li5La3Nb1.75Y0.25O12,9.42E-06,,230.0,,10.1016/j.jpowsour.2011.05.031
686,Li6.24La3Zr2Al0.24O11.98,4.00E-04,0.26,230.0,,10.1016/j.ssi.2011.10.022
687,Li7La3Zr2O12-0.3Ga,3.80E-05,0.37,230.0,,10.1016/j.jpowsour.2012.09.111
688,Li7La3Zr2O12-0.4Ga,4.40E-05,0.36,230.0,,10.1016/j.jpowsour.2012.09.111
689,Li7La3Zr2O12-0.5Ga,8.90E-05,0.36,230.0,,10.1016/j.jpowsour.2012.09.111
690,Li7La3Zr2O12-Ga,5.40E-04,0.32,230.0,,10.1016/j.jpowsour.2012.09.111
691,La3Zr2Ga0.5Li5.5O12,1.00E-04,,230.0,,
692,Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,230.0,,
693,Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,230.0,,10.1039/c3cp50991e
694,Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,230.0,,10.1039/c3cp50991e; 10.1039/c3cp50991e
